Time,Potentiometer,Distance
07/27/2021_20:38:47.501,356.73,170.84
07/27/2021_20:38:47.612,356.73,170.39
07/27/2021_20:38:47.724,356.73,170.37
07/27/2021_20:38:47.835,356.73,171.3
07/27/2021_20:38:47.864,357.82,171.3
07/27/2021_20:38:47.945,357.82,155.34
07/27/2021_20:38:48.056,357.82,169.92
07/27/2021_20:38:48.168,357.82,169.94
07/27/2021_20:38:48.279,357.82,170.85
07/27/2021_20:38:48.365,356.73,170.85
07/27/2021_20:38:48.390,356.73,171.27
07/27/2021_20:38:48.501,356.73,155.14
07/27/2021_20:38:48.612,356.73,170.83
07/27/2021_20:38:48.722,356.73,156.32
07/27/2021_20:38:48.834,356.73,170.04
07/27/2021_20:38:48.866,356.73,170.04
07/27/2021_20:38:48.945,356.73,170.83
07/27/2021_20:38:49.056,356.73,170.85
07/27/2021_20:38:49.168,356.73,171.73
07/27/2021_20:38:49.278,356.73,156.02
07/27/2021_20:38:49.367,356.73,156.02
07/27/2021_20:38:49.389,356.73,170.37
07/27/2021_20:38:49.501,356.73,170.42
07/27/2021_20:38:49.612,356.73,169.94
07/27/2021_20:38:49.839,356.73,2152.9
07/27/2021_20:38:49.868,357.82,2152.9
07/27/2021_20:38:49.950,357.82,170.82
07/27/2021_20:38:50.061,357.82,170.42
07/27/2021_20:38:50.173,357.82,170.37
07/27/2021_20:38:50.284,357.82,174.74
07/27/2021_20:38:50.369,356.73,174.74
07/27/2021_20:38:50.395,356.73,155.17
07/27/2021_20:38:50.506,356.73,170.85
07/27/2021_20:38:50.617,356.73,170.04
07/27/2021_20:38:50.728,356.73,170.88
07/27/2021_20:38:50.840,356.73,172.14
07/27/2021_20:38:50.871,356.73,172.14
07/27/2021_20:38:50.950,356.73,155.3
07/27/2021_20:38:51.061,356.73,169.89
07/27/2021_20:38:51.172,356.73,156.85
07/27/2021_20:38:51.283,356.73,170.37
07/27/2021_20:38:51.372,357.82,170.37
07/27/2021_20:38:51.394,357.82,170.37
07/27/2021_20:38:51.505,357.82,170.35
07/27/2021_20:38:51.614,357.82,127.39
07/27/2021_20:38:51.724,357.82,156.07
07/27/2021_20:38:51.836,357.82,170.85
07/27/2021_20:38:51.873,356.73,170.85
07/27/2021_20:38:51.947,356.73,170.84
07/27/2021_20:38:52.057,356.73,153.88
07/27/2021_20:38:52.168,356.73,172.57
07/27/2021_20:38:52.279,356.73,155.4
07/27/2021_20:38:52.374,356.73,155.4
07/27/2021_20:38:52.392,356.73,169.99
07/27/2021_20:38:52.503,356.73,171.7
